username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
tvsedmatthews,1249847947887628294,2020-04-13 23:52:26+00:00,8,#coronavirus,,0,0,"So I was tweeting this 3 weeks ago. Sadly, it appears to have all come true. #coronavirus ",,,,,coronavirus,0.0,0.136,0.728,0.136
stillsafe,1249847824575012865,2020-04-13 23:51:57+00:00,1,#Coronavirus #family,,0,0,#Coronavirus : The reasons some #family members are allowed to visit COVID-19 patients,,,Coronavirus,,Coronavirus,0.0,0.0,1.0,0.0
PericulumInfo,1249847680903385088,2020-04-13 23:51:22+00:00,0,#workingfromhome #Coronavirus #MondayMotivation,,0,0,"Our global team is used to traveling and interfacing, so when we were grounded, our Managing Director created a weekly well-being check-in with activities like taking walks or having a drink. How is your company coping with #workingfromhome? #Coronavirus #MondayMotivation",,,Coronavirus,,Managing Director Coronavirus # MondayMotivation,0.5423,0.0,0.894,0.106
PPIEglobal,1249847529761640451,2020-04-13 23:50:46+00:00,2,#hydroxychloroquine #coronavirus,,1,0,THIS is so IMPORTANT! Hemolytic anemia is a disorder in which red blood cells are destroyed faster than they can be made. Red blood cells carry oxygen to all parts of your body. As an RA patient given #hydroxychloroquine I became seriously ill. Madness to self-treat!#coronavirus ,,,,RA,RA treat!#coronavirus,-0.8625,0.243,0.7,0.057
stillsafe,1249847311326380038,2020-04-13 23:49:54+00:00,1,#Coronavirus #France,,0,0,#Coronavirus LIVE: #France extends lockdown as Macron admits it was not ready for COVID-19,,,,,Coronavirus LIVE France Macron,0.1506,0.126,0.654,0.22
stillsafe,1249847295123865600,2020-04-13 23:49:50+00:00,1,#Coronavirus #lockdown,,0,0,#Coronavirus : Government 'doesn't expect' to relax COVID-19 #lockdown this week,,government,,,Coronavirus,-0.3412,0.194,0.8059999999999999,0.0
advancenumeric,1249847150290391040,2020-04-13 23:49:16+00:00,0,#coronavirus #UKGoverment #uk #african #usa,,0,0,My contributions at http://coronasupport.wordpress.com A Wordpress Site to support those in immediate need #coronavirus #UKGoverment #uk #african #usa,,,,,Wordpress coronavirus # uk # african # usa,0.4019,0.0,0.863,0.13699999999999998
h24news_uk,1249846352424689665,2020-04-13 23:46:06+00:00,0,#Italy #Coronavirus,,0,0,A WORLD War II veteran aged 101 has died two weeks after leaving hospital where he had apparently recovered from coronavirus. #Italy #Coronavirus ,,,Italy,,WORLD War II coronavirus # Italy # Coronavirus,-0.8176,0.263,0.737,0.0
Parikiaki,1249845505691181060,2020-04-13 23:42:44+00:00,0,#Cyprus #coronavirus #Cypruscoronavirus #covid19,,0,1,"One more death, 29 new confirmed cases announced in Cyprus http://www.parikiaki.com/2020/04/one-more-death-29-new-confirmed-cases-announced-in-cyprus/ #Cyprus #coronavirus #Cypruscoronavirus #covid19",,,,,Cyprus http://www.parikiaki.com/2020/04/one-more-death-29-new-confirmed-cases-announced-in-cyprus/ # Cyprus # Cypruscoronavirus #,-0.6361,0.23,0.77,0.0
Dividist,1249845310848815104,2020-04-13 23:41:57+00:00,4,#Wisconsin #coronavirus #Democratic,,1,1,"This is big. This is a canary in the coal mine. With all the bullshit that went down in #Wisconsin election, in the middle of the #coronavirus pandemic, #Democratic voters turned out in this swing state to replace an incumbent conservative Supreme Court judge with a liberal. ",,,,Supreme Court,Wisconsin coronavirus Supreme Court,-0.0516,0.073,0.8590000000000001,0.069
VahediFilm,1249844977179348993,2020-04-13 23:40:38+00:00,0,#itc1 #mehdivahedi #honarmandan #corona #coronav #nostalgia #lorestan #Iran #borisjohnson #tataloo #nature #nursing,,0,0,"Brillant #itc1.tv #mehdivahedi #honarmandan #corona #coronavírus #nostalgia #lorestan #Iran #borisjohnson #tataloo #nature #nursing @London, United Kingdom https://www.instagram.com/p/B-8JhJ2niN3/?igshid=1r349q7x3uf9o",,,,,# honarmandan # Iran @London United Kingdom,0.4215,0.0,0.851,0.149
hasinabelydance,1249844819645673482,2020-04-13 23:40:00+00:00,1,#bellydance #bellydancer #bellydancing #london #onlinevideo #virtual #bellydancingclasses #bellydanceclasses #Quaratine #bellydanceclass #bellydancingclass #QuarantineActivities #CoronavirusLockdown #coronavirus,,0,0,Join virtual belly dance classes with http://Hasinabellydance.com/timetable #bellydance #bellydancer #bellydancing #london #onlinevideo #virtual #bellydancingclasses #bellydanceclasses #Quaratine #bellydanceclass #bellydancingclass #QuarantineActivities #CoronavirusLockdown #coronavirus ,,,,,http://Hasinabellydance.com london # QuarantineActivities # CoronavirusLockdown,0.29600000000000004,0.0,0.901,0.099
PPIEglobal,1249844307156185090,2020-04-13 23:37:58+00:00,0,#ThankYouNHS #coronavirus #Covid19UK #COVID19,,0,0,The photograph says everything! A positive message to all. #ThankYouNHS #coronavirus #Covid19UK #COVID19,,,,,ThankYouNHS,0.5983,0.0,0.755,0.245
Phil_Neilsen,1249843825809346561,2020-04-13 23:36:03+00:00,1,#WhiteHouseBriefing #ICYMI #coronavirus #FoxNews #FoxAndFriend #NPR #MSNBC #Maddow #COVID19,,1,0,Definition of a MAD MANCHILD! #WhiteHouseBriefing #ICYMI #coronavirus #FoxNews #FoxAndFriend #NPR #MSNBC #Maddow #COVID19,,,,,MAD ICYMI FoxNews NPR MSNBC Maddow,-0.6399,0.245,0.755,0.0
InovOn_global,1249843813050396672,2020-04-13 23:36:00+00:00,1,#leadership #change #takeaction #coronavirus #crisis #transformation,,0,0,"I have published a short story ""Take the lead, it will be just fine!"" http://ow.ly/p55Q50zd8R0 #leadership #change #takeaction #coronavirus #crisis #transformation",,,,,#,-0.5562,0.174,0.754,0.071
Round5R,1249843747858403330,2020-04-13 23:35:45+00:00,3,#coronavirus,,0,0,And the Winner is #coronavirus ,,,Winner,,Winner # coronavirus,0.5859,0.0,0.513,0.487
NataliaKalinows,1249843682607542274,2020-04-13 23:35:29+00:00,1,#Coronavirus #Women #Leaders #leadership #femaleleaders #growthmindset #crisismanagement,@Forbes,0,0,Wow. Erna Solberg’s response . What Do Countries With The Best #Coronavirus Reponses Have In Common? #Women #Leaders via @forbes #leadership #femaleleaders #growthmindset #crisismanagement,,,,,Erna Solberg Coronavirus Reponses Common,0.8402,0.0,0.733,0.267
zebedee82,1249843650076585986,2020-04-13 23:35:21+00:00,7,#TrumpPressConf #coronavirus #COVID19,,2,0,"Trump is rewriting history and says his power is ""Total."" America, the new Dictatorship. #TrumpPressConf #coronavirus #COVID19",,,,,Trump America,0.0,0.0,1.0,0.0
davemacladd,1249843260803219458,2020-04-13 23:33:48+00:00,680,#coronavirus,,133,12,if The Sun thought 953 people dying was a “really good Friday” they must be ecstatic now the UK is top of the #coronavirus European death league,,,,,Sun Friday UK,0.4767,0.112,0.659,0.229
NeilByr18742476,1249843017030254592,2020-04-13 23:32:50+00:00,0,#StayHomeSaveLives #NHS #superherosinscrubs #keyworkers #coronavirus #CoronavirusLockdown,@10DowningStreet,0,0,They should leave and I think Nigel Farage should help them with the withdrawal. #StayHomeSaveLives #NHS #superherosinscrubs #keyworkers #coronavirus #CoronavirusLockdown @10DowningStreet,,nhs,,,Nigel Farage StayHomeSaveLives NHS coronavirus # CoronavirusLockdown,0.3818,0.052000000000000005,0.7829999999999999,0.165
Dellaporta,1249842655493853189,2020-04-13 23:31:24+00:00,0,#COVID19 #COVID19UK #coronavirus #london,,0,0,Westminster Cathedral - current mood #COVID19 #COVID19UK #coronavirus #london https://www.instagram.com/p/B-8F-s2hOm8/?igshid=1m2fmeyohkg72,,,,,Westminster COVID19UK coronavirus # london,0.0,0.0,1.0,0.0
BBCArdalan,1249842533473169413,2020-04-13 23:30:55+00:00,24,#coronavirus #Iran,,1,1,Ferocious floods hit the religious city of Qom already reeling under the impact of #coronavirus and belated lockdowns. No fatalities reported in but the devastation was complete in some areas. See ore photos: https://www.tabnak.ir/fa/news/972252/%D8%AC%D8%A7%D8%B1%DB%8C-%D8%B4%D8%AF%D9%86-%D8%B3%DB%8C%D9%84-%D8%AF%D8%B1-%D8%AC%D8%A7%D8%AF%D9%87-%D9%82%D9%85-%D8%A7%D8%B1%D8%A7%DA%A9 #سیل_قم #Iran,,,,,Qom https://www.tabnak.ir/fa/news/972252/%D8%AC%D8%A7%D8%B1%DB%8C-%D8%B4%D8%AF%D9%86-%D8%B3%DB%8C%D9%84-%D8%AF%D8%B1-%D8%AC%D8%A7%D8%AF%D9%87-%D9%82%D9%85-%D8%A7%D8%B1%D8%A7%DA%A9 Iran,-0.4266,0.123,0.826,0.052000000000000005
ukdon2012,1249842251284516870,2020-04-13 23:29:48+00:00,0,#Coronavirus,,0,0,Coronavirus: US officials express optimism that the spread is slowing #Coronavirus ,,,Coronavirus,,Coronavirus US Coronavirus,0.5423,0.0,0.741,0.259
IranIntl_En,1249842245303439362,2020-04-13 23:29:46+00:00,8,#coronavirus #Tehran,,4,0,"Mohammad Javad Haghshenas, a member of the Tehran city council says the death toll of #coronavirus in #Tehran is not at all comparable to the official numbers announced by the officials. He demanded an independent report about coronavirus in Tehran",,,,,Mohammad Javad Haghshenas Tehran # Tehran coronavirus Tehran,-0.7003,0.132,0.868,0.0
